Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Aïdi,https://cdn.royalcanin-weshare-online.io/afozIGYBIYfdNSoCsAjP/v1/bd122bl-aidi-adult-lying-down?w=320&fm=jpg&auto=compress,"Los Aidis son perros muy resistentes, de notable fuerza y movilidad. Los perros de esta raza son musculosos, nerviosos y con una constitución fuerte. Tienen un pelaje espeso peculiar que les protege del sol y del frío. Este pelaje también les protege en peleas con chacales y otros depredadores. Tiene una mirada alegre, directa y obstinada, como corresponde a un perro que siempre está dispuesto a tareas de vigilancia. En algunas regiones de Marruecos, es habitual cortarles las orejas. Incluso es posible recortar la cola de los perros de trabajo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Marruecos Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Independiente / Leal / Sensible, - Necesita cuidados moderados - Un gran perro para una familia - Disfruta del entrenamiento,L (26-44 kg)
Akita Americano,https://cdn.royalcanin-weshare-online.io/7SLIxWoBaxEApS7LQRtH/v5/bd124bl-hub-american-akita-adult-standing?w=320&fm=jpg&auto=compress,"Simpático, alerta, receptivo, digno, dócil y valiente: estos son los adjetivos que mejor describen a los Akitas Americanos. Este fuerte compañero es muy elogiado por su instinto protector innato, y se recomienda socializarlo desde una edad muy temprana. Son relativamente desconfiados con las personas que no conocen y un poco dominantes en las relaciones con otros perros. Son tranquilos, pero tienen una gran presencia e irradian confianza en cualquier circunstancia. Dicen que su cabeza se parece a la de un oso, concretamente, a la de un oso polar, pero en realidad hay muchas más similitudes entre las dos especies. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Grande Esperanza de vida promedio: 10–15 años Personalidad: Equilibrado / Afable / Alerta / Obediente / Tranquilo, - Un gran perro guardián - Requiere espacio exterior - Necesita cuidados moderados,L (26-44 kg)
Akita inu,https://cdn.royalcanin-weshare-online.io/rvo0HWsBIYfdNSoCfxpx/v1/bd22bl-hub-akita-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros guardianes son grandes y de constitución robusta y atlética que los hace ideales para largos paseos y hacer ejercicio. El akita inu tiene una expresión noble y solemne que lo ha hecho popular en todo el mundo.  Excepto por el blanco, todos los colores del pelaje son ""urajiro"", lo que significa que los lados del hocico, las mejillas, debajo de la mandíbula, el cuello, el pecho, el vientre, la parte inferior de la cola y el interior de las patas están cubiertos de pelo blanquecino. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Japón Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Leal / Tranquilo / Obediente, - Un gran perro guardián - Necesita un dueño con experiencia - Necesita cuidados moderados,L (26-44 kg)
Antiguo Perro de Muestra Danés,https://cdn.royalcanin-weshare-online.io/kvrcsmoBIYfdNSoC5hgk/v1/bd257bl-hub-old-danish-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Antiguos Perros de Muestra Daneses pertenecen a una raza tranquila y equilibrada, son muy determinados y valientes. Estos perros de constitución rectangular y tamaño mediano son de complexión robusta. El origen de la raza se remonta aproximadamente a 1710 cuando un hombre llamado Morten Bak cruzó perros gitanos con perros de granja locales durante ocho generaciones, y así estableció una raza pura de perros blancos y marrones a la que llamó Antiguo Perro de Muestra Danés. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Dinamarca Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Obstinado / Seguro / Tranquilo / Leal, - Paciente con niños y otros animales - Requiere cuidados mínimos - Requiere espacio exterior,L (26-44 kg)
Antiguo perro de Pastor inglés,https://cdn.royalcanin-weshare-online.io/HSIrx2oBaxEApS7LPhxE/v1/bd90bl-hub-old-english-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Es posible que los antiguos perros de Pastor ingleses sean una de las razas más icónicas de todo el mundo y, seguramente, de su Reino Unido natal. Fuerte y rebosante de energía, el antiguo perro de Pastor inglés es un perro fiel y confiable, tanto en el trabajo como en el hogar familiar.  Además de ser un famoso perro de granja, el antiguo perro de Pastor inglés es un excelente perro guardián, gracias a su naturaleza alerta y protectora. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Seguro / Leal, - Necesita cuidados moderados - Requiere espacio exterior - Necesita mucho ejercicio,L (26-44 kg)
Basset hound,https://cdn.royalcanin-weshare-online.io/tvpBHWsBIYfdNSoCdxr6/v1/bd29bl-hub-basset-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los basset hound son perros tranquilos que muestran un especial afecto hacia aquellos que les rodean y nunca expresan agresividad. Son conocidos por su terquedad, pero gracias a su carácter travieso se han ganado muchos admiradores en todo el mundo.  Los basset hounds son los más potentes y pesados de la categoría de rastreadores, clasificados como perros grandes a pesar de su baja estatura. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Sociable / Cariñoso, - Necesita cuidados moderados - Disfruta del entrenamiento - Jardín no esencial,L (26-44 kg)
Billy,https://cdn.royalcanin-weshare-online.io/DiLVxWoBaxEApS7LVBzY/v1/bd145bl-hub-billy-adult-standing?w=320&fm=jpg&auto=compress,"El Billy es un sabueso grande originario de Haut-Poitou, en el centro occidental de Francia. Sus antepasados, perros grandes blancos, fueron inquilinos frecuentes de las perreras reales durante el reinado de Luis XIV. Una de las actividades preferidas del Billy, y una de las que mejor realiza, es perseguir liebres y jabalíes. Por lo tanto, las cualidades más importantes de la raza se relacionan con sus aptitudes para la caza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Alerta, - Requiere espacio exterior - Un gran perro guardián - Necesita poco entrenamiento,L (26-44 kg)
Borzoi,https://cdn.royalcanin-weshare-online.io/wvpRHWsBIYfdNSoCJhpA/v1/bd36bl-hub-borzoi-adult-standing?w=320&fm=jpg&auto=compress,"El borzoi es una raza leal, cariñosa y confiable que florece en compañía humana, lo cual los convierte en perros fantásticos para las familias activas. Sin embargo, este perro no debe menospreciarse. Su gran estatura significa que requiere mucho espacio para vivir y su caracterísito pelaje necesita muchos cuidados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Rusia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Fuerte / Tranquilo / Equilibrado / Alerta, - Necesita mucho ejercicio - Necesita mucho espacio - Requiere muchos cuidados,L (26-44 kg)
Bóxer,https://cdn.royalcanin-weshare-online.io/nPq6HGsBIYfdNSoCaBpp/v5/bd8bl-hub-boxer-adult-standing?w=320&fm=jpg&auto=compress,"El Bóxer es un perro intrépido, confiado, tranquilo y equilibrado. Aunque no representa ninguna amenaza para su familia, puede ser muy desconfiado de los extraños. El Bóxer es obediente, de modo que resulta fácil de educar. Poco exigente, tranquilo y leal, es adecuado tanto como perro de familia y de compañía como de defensa y utilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 9–10 años Personalidad: Alerta / Seguro / Entusiasta / Equilibrado / Afable / Independiente / Leal / Alegre / Protector, - Un gran perro guardián - Necesita un entrenamiento moderado - Necesita mucho ejercicio,L (26-44 kg)
Boyero de Flandes,https://cdn.royalcanin-weshare-online.io/8GlVHWsBG95Xk-RBDvj7/v1/bd39bl-hub-bouvier-des-flandres-adult-standing?w=320&fm=jpg&auto=compress,"Originalmente, el Boyero de Flandes se utilizaba para conducir rebaños, como animal de tiro y para batir mantequilla. La modernización de los equipos agrícolas lo desplazó de estos roles y, en la actualidad, el Boyero de Flandes se usa para proteger las granjas y como perro de defensa.  Estos perros de caràcter determinado son más adecuados para propietarios con experiencia que puedan dedicar tiempo para cubrir sus necesidades de entrenamiento y aseo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Inteligente / Tranquilo / Seguro / Alegre / Trabajador, - Un gran perro guardián - Necesita cuidados moderados - Dócil con los niños,L (26-44 kg)
Braco italiano,https://cdn.royalcanin-weshare-online.io/QSI9x2oBaxEApS7LgxwS/v1/bd150bl-hub-italian-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Robustos y adaptados a todos los tipos de caza, los Bracos italianos son unos perros de muestra fiables con un excelente sentido del olfato, dóciles y fáciles de entrenar. Además de por sus instintos de caza, estos perros están comenzando a ser conocidos por ser perros de compañía familiares dulces y cariñosas, debido a su fácil mantenimiento, a su paciencia con los niños y a su capacidad para quedarse solos en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Grande Esperanza de vida promedio: 12–13 años Personalidad: Leal / Tranquilo, - Necesita poco entrenamiento - Requiere cuidados mínimos,L (26-44 kg)
Braco Alemán de Pelo Corto,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"El Braco Alemán de Pelo Corto es un perro cariñoso y equilibrado, es afable, inteligente y ansioso por complacer. Estos perros son pacientes con los niños y con otros perros; sin embargo, su gran tamaño implica que el juego pueda ser demasiado brusco para los niños más pequeños. Los Bracos Alemanes de Pelo Corto, atléticos y comprometidos, son perros de caza robustos y versátiles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Fuerte / Equilibrado / Leal / Tímido / Seguro, - Requiere espacio exterior - Necesita cuidados moderados - Requiere mucho entrenamiento,L (26-44 kg)
Braco Alemán de Pelo Duro,https://cdn.royalcanin-weshare-online.io/cvrLsmoBIYfdNSoCtxg1/v1/bd200bl-hub-german-wire-haired-pointer-adult-standing?w=320&fm=jpg&auto=compress,"El Braco Alemán de Pelo Duro tienen cualidades notables reconocidas en todo el mundo, pero en su país natal se los considera el exponente perfecto de las razas de muestra. Un perro de caza versátil, el Braco Alemán de Pelo Duro tiene todos los atributos necesarios para trabajar en llanuras, bosques y pantanos, anticipándose a las señales o respondiendo a estas. Como compañeros, estos perros son cariñosos y equilibrados, y establecen un vínculo muy estrecho con sus propietarios. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Equilibrado / Seguro, - Necesita cuidados moderados - Disfruta del entrenamiento,L (26-44 kg)
Braco de Weimar,https://cdn.royalcanin-weshare-online.io/OCI1x2oBaxEApS7LJxwI/v1/bd114bl-hub-weimaraner-adult-standing?w=320&fm=jpg&auto=compress,"Los Bracos de Weimar son muy perseverantes, trabajan de manera muy sistemática y no son excesivamente enérgicos. Son muy conocidos por su notable sentido del olfato.  Muy precisos a la hora de señalar la presa en tierra y en agua, son excelentes compañeros para los cazadores. Estos perros de gran tamaño se adaptan bien como trabajadores, pero también para el papel de perros de familia, protectores del hogar y en alerta ante los extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Alerta / Leal / Trabajador / Inteligente, - Requiere espacio exterior - Necesita cuidados moderados - Necesita poco entrenamiento,L (26-44 kg)
