Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Boyero de Berna,https://cdn.royalcanin-weshare-online.io/qPotHWsBIYfdNSoCPRp3/v1/bd18bl-hub-bernese-mountain-dog-adult-standing?w=320&fm=jpg&auto=compress,"Originalmente utilizado como perro pastor y guardián en las granjas de la región suiza de Berna, el Boyero de Berna es un perro de trabajo versátil aunque también es muy apreciado como perro de compañía. Su llamativo manto tricolor y su gran capacidad de adaptación le ha hecho ganarse el afecto de familias de todo el mundo. Equilibrado, atento e intrépido en situaciones cotidianas, es simpático y leal con las personas que conoce, a la vez que seguro de sí mismo y tranquilo en presencia de desconocidos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suiza Categoría de tamaño: Muy grande Esperanza de vida promedio: 8 años Personalidad: Seguro / Cariñoso / Alerta / Leal / Equilibrado / Tranquilo, - Un gran perro guardián - Necesita cuidados moderados - Requiere espacio exterior,XL (>=45 kg)
Broholmer,https://cdn.royalcanin-weshare-online.io/UPo-x2oBIYfdNSoCwRmA/v1/bd159bl-hub-broholmer-adult-standing?w=320&fm=jpg&auto=compress,"Hoy en día, la mayoría de los broholmers son perros de compañía y de guardia. Su físico y comportamiento son características esenciales de la raza. El broholmer es tranquilo, equilibrado y afable, aunque siempre está en alerta y confiado. Cuando el perro está atento o excitado, lleva la cabeza más alta y eleva la cola por encima de la horizontal. Como tipo, esta raza es conocida desde la Edad Media, cuando se utilizaba para cazar (caza del ciervo). Más adelante, se usó principalmente como perro de guardia para grandes granjas y mansiones. Escasean los ejemplares de esta raza y, de forma excepcional, el club de la raza supervisa a todos los adultos y cachorros nacidos en Dinamarca. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Dinamarca Categoría de tamaño: Muy grande Esperanza de vida promedio: 7–12 años Personalidad: Tranquilo / Equilibrado / Afable / Seguro, - Requiere cuidados mínimos - Un gran perro guardián - Requiere espacio exterior,XL (>=45 kg)
Bullmastiff,https://cdn.royalcanin-weshare-online.io/_GlbHWsBG95Xk-RBGPgU/v1/bd44bl-hub-bullmastiff-adult-standing?w=320&fm=jpg&auto=compress," Los bullmastiffs son perros de gran constitución y fuerza Estos perros leales, alegres y siempre alerta tienen fama de ser resistentes, activos y fieles protectores.  A pesar de su gran tamaño, en realidad son perros muy afables y excelentes compañeros de familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Muy grande Esperanza de vida promedio: 8–10 años Personalidad: Inteligente / Alerta / Leal / Protector / Fuerte / Alegre / Entusiasta, - Un gran perro guardián - Necesita un propietario con algo de experiencia - Un gran perro para una familia,XL (>=45 kg)
Dogo de Burdeos,https://cdn.royalcanin-weshare-online.io/1_rEHWsBIYfdNSoC7hrn/v1/bd57bl-hub-dogue-de-bordeaux-adult-standing?w=320&fm=jpg&auto=compress,"El Dogo de Burdeos está siempre en alerta y es muy valiente, cualidades que hacen de él un gran perro guardián.  Estos perros son excelentes compañeros de sus propietarios y se vuelven muy apegados a su familia. Son cariñosos con los niños y tolerantes con otros perros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Muy grande Esperanza de vida promedio: 8–10 años Personalidad: Protector / Alerta / Leal / Cariñoso / Tranquilo / Equilibrado, - Necesita un dueño con experiencia - Requiere espacio exterior - Necesita poco entrenamiento,XL (>=45 kg)
Dogo del Tíbet,https://cdn.royalcanin-weshare-online.io/NCIzx2oBaxEApS7LDhy3/v1/bd111bl-hub-tibetan-mastiff-adult-standing?w=320&fm=jpg&auto=compress,"Los dogos del Tíbet son perros gigantes, vigorosos y de complexión fuerte. Estos perros de aspecto imponente combinan una gran fuerza con una resistencia que les permite trabajar en cualquier clima. Los dogos del Tíbet, son independientes e imponen respeto, siendo protectores de su territorio y muy leales a su familia.  Tienen un crecimiento lento: las hembras tardan de dos a tres años en desarrollarse físicamente por completo, mientras que los machos tardan al menos cuatro años. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Tíbet Categoría de tamaño: Muy grande Esperanza de vida promedio: 10–15 años Personalidad: Independiente / Protector / Leal, - Un gran perro guardián - Necesita un dueño con experiencia - Necesita cuidados moderados,XL (>=45 kg)
Gran Danés,https://cdn.royalcanin-weshare-online.io/4vrWHWsBIYfdNSoCshrb/v1/bd66bl-hub-great-dane-adult-standing?w=320&fm=jpg&auto=compress,"De constitución armoniosa y rostro expresivo, el Gran Danés es un gigante dócil. El Granés Danés es alegre y cariñoso con sus compañeros humanos, especialmente con los niños, aunque desconfían de los extraños.  Un Gran Danés seguro de sí mismo, tranquilo y receptivo es un perro de familia altamente tolerante con escasa probabilidad de mostrarse agresivo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Muy grande Esperanza de vida promedio: 8–10 años Personalidad: Afable / Cariñoso / Leal / Tímido / Seguro / Fuerte / Tranquilo / Equilibrado, - Un gran perro para una familia - Necesita un entrenamiento moderado - Un gran perro guardián,XL (>=45 kg)
Landseer,https://cdn.royalcanin-weshare-online.io/pGnWsmoBG95Xk-RB2fZ6/v1/bd241bl-hub-landseer-adult-standing?w=320&fm=jpg&auto=compress,"Los landseers son perros grandes, robustos y bien proporcionados. Tienen las patas más largas que las de sus primos, los terranovas negros. El landseer, protector por naturaleza, defenderá a su familia frente a cualquier amenaza y no dudará en cuidar de los niños cuando sea necesario. Como tal, es también un magnífico perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Muy grande Esperanza de vida promedio: 9–11 años Personalidad: Equilibrado, - Necesita cuidados moderados - Necesita mucho espacio - Un gran perro guardián,XL (>=45 kg)
Lebrel Irlandés,https://cdn.royalcanin-weshare-online.io/Jvomx2oBIYfdNSoCOBlg/v1/bd76bl-hub-irish-wolfhound-adult-standing?w=320&fm=jpg&auto=compress,"Hasta finales del siglo XVII, estos perros se usaban en Irlanda para cazar lobos y ciervos. Hoy en día, son apreciados como perros de compañía. Sin duda, su peso es inferior y tampoco son de constitución tan sólida como el Gran Danés, pero el Lebrel Irlandés aun así es un perro muy grande e imponente, con una gran masa muscular. El Lebrel Irlandés es un buen perro guardián, dispuesto a proteger a su familia humana ante cualquier amenaza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Irlanda Categoría de tamaño: Muy grande Esperanza de vida promedio: 8–10 años Personalidad: Afable / Dócil / Inteligente / Leal / Tranquilo / Equilibrado, - Un gran perro guardián - Necesita cuidados moderados - Necesita poco entrenamiento,XL (>=45 kg)
Leonberger,https://cdn.royalcanin-weshare-online.io/bvrKsmoBIYfdNSoCIBhP/v1/bd83bl-hub-leonberger-adult-standing?w=320&fm=jpg&auto=compress,"A pesar de su tamaño imponente, el leonberger es un perro dócil y amoroso, lo cual lo convierte en un compañero de familia excelente. Es afable con niños y paciente con otros animales del hogar. El leonberger es inteligente, fuerte y observador, de modo que resulta un perro guardián que identifica rápidamente a los extraños y alerta a sus dueños si sucede cualquier cosa inusual. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Muy grande Esperanza de vida promedio: 8–9 años Personalidad: Equilibrado / Afable / Seguro / Juguetón / Inteligente, - Un gran perro para una familia - Requiere espacio exterior - Necesita cuidados moderados,XL (>=45 kg)
Mastiff,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"En cuanto al carácter, los Mastiff son una rara combinación de nobleza y coraje. Estos perros tranquilos son cariñosos con sus compañeros humanos y, a pesar de su tamaño, son dóciles con los niños.  Los Mastiff son perros poderosos y de buena complexión que pueden superar el peso de un hombre adulto. Se utilizan en todo el mundo como perros guardianes por su naturaleza alerta y protectora y por su formidable aspecto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Muy grande Esperanza de vida promedio: 10–12 años Personalidad: Cariñoso / Tranquilo / Protector / Tímido, - Un gran perro guardián - Necesita un propietario con algo de experiencia - La educación deberá comenzar pronto,XL (>=45 kg)
